kato	katohia
pāwhara	pāwharatia
hīanga	hīangatia
tāuwhi	tāuwhia
tīkaro	tīkarotia
whakakite	whakakitea
rahoraho	rahorahoa
wehewehe	wehewehea
piki	pikitia
pūremu	pūremutia
tītokotoko	tītokotokona
whakatangitangi	whakatangitangihia
arataki	aratakina
whakatara	whakataraa
tāwai	tāwaia
whiti	whitingia
rangirangi	rangirangia
whakawaireka	whakawairekatia
koara	koaratia
tīhore	tīhorea
whao	whaoa
tanu	tanumia
kopani	kopania
tahitahi	tahitahia
rangahau	rangahaua
meke	mekea
moto	motokia
whakawārea	whakawāreatia
oke	okea
whakaputa	whakaputaina
whakaeraea	whakaeraeatia
pauna	paunatia
tītore	tītorea
koingo	koingotia
mea	meatia
whakatiraha	whakatirahatia
whakatina	whakatinaia
kumu	kumua
hua	huaina
karapoti	karapotia
pōwhiri	pōwhiritia
parani	paranitia
whakatakitaki	whakatakitakina
whakahōnore	whakahōnoretia
panipani	panipania
nanati	nātia
whakamamae	whakamamaetia
whakapai	whakapaingia
whakamau	whakamaua
whakatata	whakatatangia
raka	rakatia
waru	waruhia
whakapuaki	whakapuakina
whai	whāia
komo	komotia
hongi	hongia
whakawātea	whakawāteatia
wawata	wawatatia
raranga	rangaa
tīkoko	tīkokoa
tātāmi	tātāmia
ore	orea
eke	ekengia
totoro	torohia
kōkiri	kōkiritia
ui	uia
tūtuki	tūtukia
whakanoho	whakanohoia
manako	manakotia
taumau	taumautia
patō	patōhia
uru	urua
tau	tauria
rama	ramaa
whakarangatira	whakarangatiratia
mākiri	mākirihia
tō	tōkia
hoki	hokia
hūpeke	hūpeketia
ngote	ngotea
weku	wekua
whakariro	whakariroia
poke	pokea
whakamātautau	whakamātautauria
tūā	tūāina
noho	nohoia
tāwharau	tāwharautia
pupuri	puritia
kawe	kawea
whaiere	whaieretia
whakararu	whakararua
hukihuki	hukihukia
whakatakoto	whakatakotoria
pātai	pātaingia
hahu	hahua
whakaatamira	whakaatamiratia
whare	wharekura
āpuru	āpurua
āwhina	āwhinatia
whakakā	whakakāngia
mahimahi	mahimahia
hihiri	hihiritia
kāwiri	kāwiritia
kōtui	kōtuia
tīhae	tīhaea
tapatapahi	tapatapahia
rore	rorea
kohikohi	kohikohia
whakaae	whakaaetia
kowhete	kowhetetia
kaupare	kauparea
tāmuimui	tāmuimuia
whakatairanga	whakatairangatia
whakaroa	whakaroatia
taunga	taungatia
tuwha	tuwhaia
pōpopo	pōpopotia
mārau	māraua
mōunu	mōunutia
waipuke	waipuketia
tango	tangohia
tapatapa	tapatapaia
whakamine	whakaminea
rārangi	rārangitia
aru	arumia
ātete	ātetetia
nēhi	nēhitia
huihui	huihuia
rongo	rongohia
whakatuwhera	whakatuwheratia
whakapae	whakapaengia
pōkai	pōkaia
tiu	tiua
tahi	tahia
pāike	pāikea
rēhita	rēhitatia
whakawā	whakawākia
mukumuku	mukumukua
whakaiti	whakaitia
tākaro	tākarohia
kokoti	kōtia
pōti	pōtitia
whakakaha	whakakahangia
runa	runaa
rongonui	rongonuitia
whakarere	whakarerea
tomo	tomokia
heu	heua
whakaheke	whakahekea
whakawhiwhi	whakawhiwhia
kaingākau	kaingākautia
tāhae	tāhaetia
takawiri	takawiritia
miraka	mirakatia
hīpoki	hīpokina
kaukau	kaukauria
mui	muia
iheuheu	iheuheua
rehe	rehea
āpiti	āpitiria
ropi	ropia
whakahāwea	whakahāweatia
tangi	tangihia
mātakitaki	mātakitakina
tuwhera	tuwheratia
miri	miria
tokotoko	tokotokona
whakapakoko	whakapakokotia
whakawāwā	whakawāwātia
rutu	rutua
apiti	apitiria
whiriwhiri	whiriwhiria
ara	arahia
awhe	awhea
taki	takina
tiaki	tiakina
whakawahi	whakawahia
hakuhaku	hakuhakua
akiaki	akiakina
tiriwa	tiriwatia
tae	taea
hora	horahia
ahu	ahuria
iri	iria
tītama	tītamatia
whakahua	whakahuatia
puhi	puhia
whakatika	whakatikaia
whakapiri	whakapiria
nanao	nanaomia
whakaū	whakaūngia
tuku	tukua
pūkai	pūkaitia
rau	raua
whakaako	whakaakona
whakakoi	whakakoia
whakakore	whakakoretia
tūtaki	tūtakina
papare	parea
tāpatu	tāpatutia
whakahorohoro	whakahorohorotia
arahi	arahina
poroporo	poroporotia
kata	kataina
mono	monokia
hane	hanea
hīrau	hīrautia
aro	arongia
rīhi	rīhitia
pupuru	purutia
kōhua	kōhuatia
taraiwa	taraiwatia
eke	ekea
whatiwhati	whatiwhatia
amo	amohia
aroha	arohatia
apoapo	apoapohia
mekemeke	mekemekehia
maminga	mamingatia
whakakorokoro	whakakorokorotia
tuaki	tuakina
whakatipu	whakatipuria
pehipehi	pehipehia
whakaoti	whakaotia
whakaari	whakaaria
uta	utaina
hīri	hīritia
hirihiri	hirihiria
tā	tāngia
tātā	tātāngia
tauwehe	tauwehea
kō	kōia
herehere	hereherea
kahaki	kahakina
piu	piua
pona	ponaia
whakauru	whakaurua
muku	mukua
rumaki	rumakina
whakakikī	whakakikīa
pōrangi	pōrangitia
tāpi	tāpia
hoe	hoea
hohou	hohoutia
pērā	pērātia
kōwhiri	kōwhiria
wewete	wewetekia
raweke	raweketia
āki	ākina
tia	tiaina
inoi	inoia
inu	inumia
karanga	karangahia
whakamaroke	whakamaroketia
kini	kinitia
kuhu	kuhua
hīkoi	hīkoitia
onioni	onionitia
whakapau	whakapaungia
tono	tonoa
kākahu	kākahuria
pati	patia
pororua	pororuatia
rāhui	rāhuitia
tāpiri	tāpiritia
whakaaro	whakaarotia
tiro	tirohia
whakatahuri	whakatahuringia
titi	titia
patu	patua
whakarawa	whakarawatia
whakautu	whakautua
kukuti	kūtia
poipoi	poipoia
hume	humea
haina	hainatia
whakairo	whakairohia
whawhati	whatiia
puruma	purumatia
oro	orohia
tupua	tupuatia
kikini	kikinitia
take	takea
ngau	ngaua
tōkari	tōkaritia
tarai	taraia
whakamōkā	whakamōkātia
tukutuku	tukutukua
waikeri	waikeringia
tupoki	tupokina
whakapua	whakapuatia
whakakakara	whakakakaratia
whakarongo	whakarongohia
whakanui	whakanuia
kite	kitea
uiui	uiuia
kōhue	kōhuetia
kape	kapea
tāmi	tāmia
konatu	konatua
takahi	takahia
paihere	paiheretia
hūpana	hūpanatanga
hanga	hangaa
tāmaru	tāmarutia
whakataurite	whakatauritea
whakakao	whakakaotia
nukunuku	nukunukuhia
piro	pirongia
riringi	riringihia
whakareka	whakarekangia
whakarite	whakaritea
titiro	tirohia
tatau	tauria
whakarāwai	whakarāwaitia
romi	romia
nati	natia
kāpui	kāpuia
tatau	tatauria
taua	tauatia
pakanga	pakangatia
wepu	wepua
rarapi	rarapihia
mākutu	mākuturia
tohe	tohea
tapiki	tapikitia
tohe	tōhea
pēke	pēketia
whiri	whiria
mitimiti	mitimitia
piko	pikoa
tāwhi	tāwhia
whakapae	whakapaea
ua	uaina
wete	wetekia
pāhua	pāhuatia
hura	hurahia
wani	wania
tūtui	tūtuia
tārai	tāraia
whakaahua	whakaahuatia
pēwhea	pēwheatia
whakamana	whakamanaa
pākawe	pākawetia
whakaatu	whakaaturia
kawhaki	kawhakina
whakaero	whakaerotia
whakakopakopa	whakakopakopaia
kare	karea
tupu	tupuria
apo	apohia
muimui	muimuia
hahau	hahautia
ruaki	ruakina
koa	koaina
whakaparahako	whakaparahakotia
mōkete	mōketetia
pūranga	pūrangatia
waha	wahaa
toro	torona
paro	paroa
tūahu	tūahutia
hoko	hokona
tākiri	tākiritia
turaki	turakina
pānui	pānuitia
rohe	rohea
whakatanuku	whakatanukutia
pou	poua
whaikōrero	whaikōrerotia
ai	aitia
ranga	rangaa
kī	kīa
whakatōpū	whakatōpūtia
whakataki	whakatakina
keri	keria
tāhawahawa	tāhawahawatia
kōpenupenu	kōpenupenutia
whakaoho	whakaohotia
hinga	hingana
whakatahe	whakatahea
mihi	mihia
whakapuru	whakapurua
totohe	totohea
tohatoha	tohatohaina
wero	werohia
whakamutu	whakamutua
whaiwhai	whaiwhaia
tautohetohe	tautohetohetia
paikarāihe	paikarāihetia
hihira	hihiratia
paura	pauratia
whakamārōrō	whakamārōrōtia
koro	koroa
whakataetae	whakataetaengia
kōmiri	kōmiria
tārona	tāronatia
pōuto	pōutokia
whakakopi	whakakopitia
tatā	tatāia
rere	rerengia
whakaparu	whakaparua
whakaurunga	whakaurungatia
tao	taona
whakaranu	whakaranua
waiho	waihotia
hāpai	hāpaingia
whana	whanaia
whakamākūkū	whakamākūkūtia
whakarāpopoto	whakarāpopotongia
riri	riria
ruku	rukuhia
whakae	whakaetia
tapi	tapia
wāhi	wāhia
heuheu	heuheutia
hiahia	hiahiatia
tāpui	tāpuia
kōpaki	kōpakina
maka	makaa
huaki	huakina
hokohoko	hokohokona
narunga	narungatia
whakaora	whakaorangia
whakawhānau	whakawhānautia
whakapaipai	whakapaipaitia
nuka	nukaia
rara	raraa
mātau	mātauria
pūāwai	pūāwaitia
taka	takaina
rori	roria
purūma	purūmatia
tute	tutea
timere	timerea
puru	purua
tītari	tītaria
whakaahu	whakaahutia
ahuahu	ahuahungia
turuki	turukitia
pupuhi	pūhia
taiapo	taiapotia
tungi	tungia
whaiaurunga	whaiaurungatia
rāpoi	rāpoia
ako	akona
puta	putaina
whakamate	whakamatea
whakatupu	whakatupuria
auru	aurutia
oka	okaina
where	wherea
tautau	tautauria
ruke	rukehia
ko	koia
whakamārie	whakamārietia
huhuti	huhutia
āmine	āminengia
hao	haoa
tutu	tutua
tuhituhi	tuhituhia
huhu	huhua
unu	unumia
hāhau	hāhautia
whakawhāiti	whakawhāititia
purupuru	purupurua
whakairi	whakairia
muri	muritai
whakakapi	whakakapia
toutou	toutoua
whakamārama	whakamāramatia
ware	warea
whakarere	whakarērea
whakapuhi	whakapuhia
hopu	hopukina
ākiri	ākiritia
whakangahau	whakangahautia
parai	paraitia
whawhai	whawhaitia
whakakōpē	whakakōpētia
koko	kokoa
hori	horia
tupeke	tupeketia
kauwhau	kauwhautia
hauhake	hauhaketia
hunuhunu	hunuhunua
muna	munaia
ihiihi	ihiihia
whakamahara	whakamaharatia
whakahanumi	whakahanumitia
awhi	awhitia
tātua	tātuatia
whakamahi	whakamahia
mātau	mātautia
whakakino	whakakinotia
kati	katia
nanao	naomia
rotu	rotua
kaui	kauitia
wawae	wawaea
whakaene	whakaenetia
awhina	awhinatia
tinei	tineia
mate	matea
houhou	houhoua
tapuhi	tapuhitia
hī	hīa
hono	honoa
korou	koroutia
pēnei	pēneitia
ruruku	rurukutia
tiki	tīkina
kapo	kapohia
whakatau	whakataua
poro	poroa
māharahara	māharaharatia
ota	otaina
ārai	āraia
aweke	aweketia
whakataratara	whakataratarahia
umere	umeretia
karawhiu	karawhiua
whakatoi	whakatoitia
mōhio	mōhiotia
niko	nikoa
tautoko	tautokona
tūhono	tūhonoa
rurerure	rurerurea
kote	kotehia
whakarapa	whakarapangia
takoto	takotoria
tāpuke	tāpuketia
kauhoe	kauhoetia
huti	hutia
whakareri	whakareria
hika	hikaia
whakaipoipo	whakaipoipotia
heru	herua
rūrū	rūrūhia
hiwi	hiwia
tapahi	tapahia
haupapa	haupapatia
tāpāpā	tāpāpātia
takapapa	takapapaa
inaki	inakitia
kōhure	kōhurea
totohe	tōhea
whānako	whānakotia
minita	minitatia
tare	tarea
popo	popotia
whakaririki	whakaririkitia
popoki	pōkia
pēhi	pēhia
ngaki	ngakia
whakangaro	whakangaromia
whakakai	whakakairia
tāmau	tāmautia
whakakāniwha	whakakāniwhatia
purei	pureitia
kōpake	kōpaketia
whakapoto	whakapotohia
punga	pungaa
pā	pāngia
mapu	mapua
whakapā	whakapākia
porowhiu	porowhiua
whakarewa	whakarewaia
kōhari	kōharitia
tānumi	tānumitia
here	herengia
waiata	waiatatia
pōhiri	pōhiritia
tiriwā	tiriwātia
whakaihi	whakaihia
rapu	rapua
whakanoa	whakanoatia
kōrero	kōrerotia
nonoti	nōtia
kuke	kukea
hongihongi	hongihongia
whakatūtehu	whakatūtehutia
takapau	takapauria
ā	āia
kaiponu	kaiponuhia
utu	utua
totoro	tōrona
numi	numia
paora	paoratia
ūtonga	ūtongatia
tāpapa	tāpapatia
ringi	ringihia
mau	mauria
ngaungau	ngaungaua
hāwhe	hāwhetia
ngare	ngarea
whakapūmau	whakapūmautia
natu	natua
tari	taria
whakakākahu	whakakākahuria
pūawhe	pūawhea
taiari	taiaritia
whakamīharo	whakamīharotia
whakahau	whakahaua
pupuri	pupuritia
kōpare	kōparea
tou	toua
opa	opaina
rākei	rākeitia
whakananu	whakananua
mahi	mahia
whakawhiti	whakawhitia
whakatākaro	whakatākarotia
ukui	ukuia
kimi	kimihia
rīngi	rīngihia
kihi	kihia
tautohe	tautohetia
ākirikiri	ākirikiritia
ripi	ripia
tāke	tāketia
moe	moea
rure	rurea
kaumātua	kaumātuatia
kuku	kukua
wareware	warewaretia
pīrangi	pīrangitia
keu	keua
whati	whatiia
tuketuke	tuketukea
whakakōpeke	whakakōpeketia
pāuna	pāunatia
whakamātau	whakamātauria
tui	tuia
haku	hakua
karakia	karakiatia
kake	kakea
panga	pangaa
paoro	paorotia
hāmene	hāmenetia
tamumu	tamumutia
whakaeke	whakaekea
nehu	nehua
whakarato	whakaratohia
kōrori	kōroria
kapi	kapia
hokomirimori	hokomirimoria
oma	omakia
whakaemi	whakaemia
āmi	āmitia
whakaora	whakaoratia
ngahu	ngahua
whakakāhore	whakakāhoretia
fakarārangi	fakarārangitia
hui	huia
whakahoro	whakahoroa
whakaingoa	whakaingoatia
huru	hurua
puri	puritia
waimeha	waimehatia
whakatō	whakatōkia
whakamoe	whakamoea
whakakake	whakakakea
kopi	kopia
rāwhera	rāwheratia
kanga	kangaa
whakakōrua	whakakōruatia
whakatūpato	whakatūpatoria
wai	waia
tauhere	tauherea
kari	karia
tipu	tipua
whakamāoa	whakamāoatia
tū	tūria
horoi	horoia
mīharo	mīharotia
piupiu	piupiua
whakangahoro	whakangahorotia
taitai	taitaia
whakahinga	whakahingaia
whāki	whākina
wawao	waona
whakahohori	whakahohoritia
whakahoa	whakahoatia
ārahi	ārahitia
pōhēhē	pōhēhētia
whāwhāi	whāwhāitia
rautao	rautaongia
peka	pekaina
pō	pōngia
rahu	rahua
aukaha	aukahatia
whakahē	whakahēngia
horo	horoa
hari	haria
tūmanako	tūmanakohia
neke	nekehia
whāwhā	whāwhāria
whakapuare	whakapuaretia
iti	itihaere
mutumutu	mutumutua
huri	hurihia
whakahāwe	whakahāwea
momotu	motuhia
hākere	hākerea
ao	aohia
whakangāwari	whakangāwaritia
kāwhaki	kāwhakina
whakaara	whakaarahia
nuku	nukuhia
pei	peia
whakawhirinaki	whakawhirinakitia
apu	apuria
whakawehi	whakawehia
karo	karohia
whakawiri	whakawiria
pākarukaru	pākarukarua
whakahaere	whakahaerea
taupoki	taupokina
taupare	tauparea
kuru	kurua
whakahemo	whakahemoa
tae	tāea
kōwhiti	kōwhitihia
tīwara	tīwarahia
whata	whataa
tāpae	tāpaea
mārena	mārenatia
papaki	pākia
tope	topea
perehi	perehitia
whakangau	whakangaua
