derviş	N;ABL(SG;PSS-2;PSS-PL	dervişinizden
çıngırağı çekmek	V;INFR;FUT;PRSP;NEG;INTR;NOM-2;NOM-PL	çıngırağı çekecek olmayacak mıymışsınız
birleştirmek	V;IND;PST;PERF;INTR;POS;NOM-2;NOM-PL	birleştirdi miydiniz
istiridye	N;ACC(SG;PSS-3;PSS-SG	istiridyesini
dakika	N;ACC-SG	dakikayı
temsilci	N;ABL(SG;PSS-1;PSS-PL	temsilcimizden
sorumluluk	N;NOM(PL;PSS-3;PSS-SG	sorumlulukları
süsmek	V;INFR;PST;PL;INTR;POS;NOM-3	süsmüşler miymiş
oynamak	V;NEC;PRS;POS;DECL;NOM-1;NOM-PL	oynameliyiz
gezmek	V;INFR;FUT;PERF;POS;DECL;NOM-2;NOM-SG	gezmiş olacaksın
bıyık	N;ABL(PL;PSS-3;PSS-SG	bıyıklarından
tarihçi	N;GEN(PL;PSS-3;PSS-SG	tarihçilerinin
ayna	N;ABL(SG;PSS-2;PSS-SG	aynandan
patlamak	V;NEC;PST;PROG;NEG;INTR;NOM-2;NOM-PL	patlıyor olmamalı mıydınız
saç fırçası	N;ACC-SG	saç fırçasını
şikâyet etmek	V;NEC;INFR;PRS;PROG;POS;DECL;NOM-2;NOM-SG	şikâyet ediyor olmalıymışsın
Belgratlı	N;DAT(SG;PSS-3;PSS-SG	Belgratlısına
silkmek	V;NEC;PRS;PROG;POS;DECL;NOM-3;NOM-PL	silkiyor olmalılar
işletim	N;PL;PRS;NOM-2;NOM-PL	işletimlersiniz
gütmek	V;INFR;PST;PERF;NEG;DECL;NOM-3;NOM-PL	gütmemişlerdi
üzmek	V;IND;PST;HAB;NEG;DECL;NOM-2;NOM-PL	üzmezdiniz
canlandırılmak	V;NEC;PST;NEG;DECL;NOM-3;NOM-PL	canlandırılmamalılardı
kovulmak	V;IND;FUT;PROG;NEG;DECL;NOM-1;NOM-PL	kovuluyor olmayacağız
ayrılmak	V;IND;FUT;PROG;NEG;DECL;NOM-1;NOM-SG	ayrılıyor olmayacağım
atom	N;GEN(SG;PSS-2;PSS-SG	atomunun
av	N;LOC(SG;PSS-2;PSS-PL	avınızda
yumurtalık	N;DAT-PL	yumurtalıklara
albüm	N;ABL(SG;PSS-2;PSS-PL	albümünüzden
oyuncak	N;PL;PRS;NOM-3;NOM-SG	oyuncaklar
girmek	V;INFR;FUT;NEG;DECL;NOM-3;NOM-SG	girmeyecekmiş
satranç	N;LOC(SG;PSS-3;PSS-SG	satrancında
ayna	N;GEN(SG;PSS-1;PSS-PL	aynamızın
yazmak	V;INFR;FUT;PROG;INTR;POS;NOM-3;NOM-SG	yazıyor olacak mıymış
gondol	N;DAT-PL	gondollara
serçe	N;GEN-SG	serçenin
temsilci	N;ACC(SG;PSS-3;PSS-SG	temsilcisini
çalmak	V;IND;PST;NEG;DECL;NOM-3;NOM-PL	çalmadılar
hastalanmak	V;IND;PST;NEG;INTR;NOM-3;NOM-PL	hastalanmadılar mı
kırdırmak	V;INFR;FUT;PROG;NEG;DECL;NOM-1;NOM-PL	kırdırıyor olmayacakmışız
harçlık	N;ABL-PL	harçlıklardan
gizem	N;GEN-SG	gizemin
sövmek	V;INFR;FUT;NEG;DECL;NOM-2;NOM-SG	sövmeyecekmişsin
kaynaştırtmak	V;INFR;PST;PRSP;NEG;INTR;NOM-3;NOM-SG	kaynaştırtmış olmayacak mıydı
atom	N;ABL(SG;PSS-3;PSS-SG	atomundan
sanmak	V;INFR;FUT;HAB;NEG;INTR;NOM-1;NOM-SG	sanır olmayacak mıymışım
çan	N;GEN(SG;PSS-1;PSS-PL	çanımızın
canlandırmak	V;INFR;PST;PRSP;NEG;DECL;NOM-3;NOM-PL	canlandırmış olmayacaklardı
eğitmek	V;NEC;PRS;PROG;NEG;INTR;NOM-3;NOM-PL	eğitiyor olmamalılar mı
keş	N;GEN(SG;PSS-2;PSS-SG	keşinin
dalmak	V;IND;FUT;INTR;POS;NOM-1;NOM-PL	dalacak mıyız
kuvvetlilik	N;ACC-SG	kuvvetliliği
tercüman	N;DAT-SG	tercümana
tutuşturmak	V;NEC;PRS;PROG;NEG;INTR;NOM-3;NOM-PL	tutuşturuyor olmamalılar mı
gaf	N;LOC(SG;PSS-2;PSS-PL	gafınızda
koleksiyon	N;DAT(SG;PSS-1;PSS-PL	koleksiyonumuza
katılmak	V;IND;PST;NEG;INTR;NOM-3;NOM-PL	katılmadılar mı
ücretlilik	N;DAT(PL;PSS-3;PSS-SG	ücretliliklerine
tepmek	V;IND;PST;PRSP;PROG;NEG;INTR;NOM-1;NOM-PL	tepiyor olmayacak mıydık
toprak olmak	V;INFR;FUT;NEG;DECL;NOM-3;NOM-PL	toprak olmayacaklarmış
pijama	N;ACC(SG;PSS-2;PSS-PL	pijamanızı
ünlü harf	N;LOC-PL	ünlü harflerde
ağda yapmak	V;INFR;FUT;PERF;NEG;DECL;NOM-2;NOM-SG	ağda yapmış olmayacaksın
sızmak	V;IND;PST;PRSP;PROG;NEG;DECL;NOM-3;NOM-SG	sızıyor olmayacaktı
heyecanlanmak	V;NEC;INFR;PRS;PROG;NEG;INTR;NOM-1;NOM-SG	heyecanlanıyor olmamalı mıymışım
ritm	N;ACC(PL;PSS-2;PSS-SG	ritmlerini
samankapan	N;LOC-PL	samankapanlarda
elmas	N;ACC(SG;PSS-2;PSS-SG	elmasını
motel	N;LOC(PL;PSS-1;PSS-PL	motellerimizde
zurna	N;NOM(SG;PSS-3;PSS-SG	zurnası
olta	N;ABL(PL;PSS-2;PSS-PL	oltalarınızdan
büktürtülmek	V;INFR;PST;PRSP;NEG;INTR;NOM-1;NOM-PL	büktürtülmüş olmayacak mıydık
sesçi	N;LOC(PL;PSS-1;PSS-PL	sesçilerimizde
tükenmek	V;IND;PRS;PROG;INTR;POS;NOM-2;NOM-PL	tükeniyor musunuz
cimcime	N;DAT(SG;PSS-2;PSS-SG	cimcimene
dövüş	N;LOC(PL;PSS-2;PSS-PL	dövüşlerinizde
yaklaşmak	V;NEC;PST;PROG;NEG;DECL;NOM-1;NOM-PL	yaklaşıyor olmamalıydık
pijama	N;ACC(PL;PSS-3;PSS-SG	pijamalarını
nalları dikmek	V;INFR;FUT;INTR;POS;NOM-1;NOM-SG	nalları dikecek miymişim
tartmak	V;INFR;FUT;PROG;INTR;POS;NOM-3;NOM-PL	tartıyor olacaklar mıymış
ayna	N;NOM(PL;PSS-3;PSS-SG	aynaları
süründürtmek	V;NEC;INFR;PST;POS;DECL;NOM-3;NOM-PL	süründürtmelilermiş
aşık	N;PL;PRS;NOM-2;NOM-PL	aşıklarsınız
konuk	N;ABL-SG	konuktan
üşenmek	V;IND;PST;HAB;PROG;POS;DECL;NOM-1;NOM-SG	üşeniyor olurdum
öpmek	V;NEC;PRS;PROG;POS;DECL;NOM-2;NOM-SG	öpüyor olmalısın
pijama	N;GEN(PL;PSS-3;PSS-SG	pijamalarının
ekşimek	V;INFR;FUT;PROG;POS;DECL;NOM-1;NOM-PL	ekşiyor olacakmışız
ehemmiyetlilik	N;LOC-PL	ehemmiyetliliklerde
tetrafobi	N;ACC-SG	tetrafobiyi
güreşçi	N;NOM(SG;PSS-2;PSS-SG	güreşçin
almak	V;INFR;FUT;PRSP;NEG;INTR;NOM-3;NOM-SG	alacak olmayacak mıymış
gelmek	V;IND;FUT;PRSP;NEG;INTR;NOM-2;NOM-PL	gelecek olmayacak mısınız
yufka	N;ABL(SG;PSS-3;PSS-SG	yufkasından
zurna	N;LOC(PL;PSS-3;PSS-SG	zurnalarında
harçlık	N;LOC-SG	harçlıkta
ritm	N;ACC(SG;PSS-1;PSS-PL	ritmimizi
uymak	V;IND;PST;PRSP;PROG;POS;DECL;NOM-3;NOM-PL	uyuyor olacaklardı
kürke	N;GEN(PL;PSS-2;PSS-SG	kürkelerinin
öpmek	V;INFR;PRS;PROG;NEG;INTR;NOM-1;NOM-PL	öpmüyor muymuşuz
leş	N;ABL(PL;PSS-2;PSS-PL	leşlerinizden
sövmek	V;IND;PST;INTR;POS;NOM-3;NOM-PL	sövdüler mi
kafes bileşik	N;DAT-SG	kafes bileşiğe
zurna	N;ACC(SG;PSS-2;PSS-PL	zurnanızı
şişmek	V;INFR;FUT;POS;DECL;NOM-2;NOM-SG	şişecekmişsin
acıktırmak	V;IND;PST;PRSP;PROG;NEG;DECL;NOM-3;NOM-PL	yaptırıyor olmayacaklardı
pandeist	N;SG;INFR;PST;NOM-2;NOM-PL	pandeistmişsiniz
unutmak	V;INFR;PST;PL;NEG;DECL;NOM-1	unutmamışmışız
demek	V;IND;FUT;PRSP;NEG;DECL;NOM-3;NOM-SG	diyecek olmayacak
vücut	N;ABL-SG	vücuttan
çaydanlık	N;GEN-SG	çaydanlığın
gereksinim	N;LOC(PL;PSS-2;PSS-SG	gereksinimlerinde
satılmak	V;IND;PST;PROG;NEG;INTR;NOM-3;NOM-PL	satılmıyorlar mıydı
bildirmek	V;INFR;FUT;HAB;INTR;POS;NOM-3;NOM-PL	bildirir olacaklar mıymış
sızmak	V;NEC;INFR;PST;NEG;DECL;NOM-1;NOM-SG	sızmamalıymışım
mobilya	N;DAT(PL;PSS-2;PSS-PL	mobilyalarınıza
çıngırağı çekmek	V;NEC;PRS;PROG;POS;DECL;NOM-1;NOM-SG	çıngırağı çekiyor olmalıyım
çalışmak	V;IND;FUT;PRSP;NEG;INTR;NOM-1;NOM-SG	çalışacak olmayacak mıyım
gelmek	V;INFR;FUT;HAB;INTR;POS;NOM-3;NOM-PL	gelir olacaklar mıymış
toprak olmak	V;IND;PRS;PROG;POS;DECL;NOM-2;NOM-PL	toprak oluyorsunuz
samankapan	N;ABL(SG;PSS-3;PSS-SG	samankapanından
takısız ad tamlaması	N;ACC-PL	takısız ad tamlamalarını
mağara	N;GEN(SG;PSS-1;PSS-PL	mağaramızın
samankapan	N;LOC(PL;PSS-2;PSS-SG	samankapanlarında
kırdırmak	V;NEC;PRS;INTR;POS;NOM-1;NOM-PL	kırdırmeli miyiz
Abu Dabili	N;SG;INFR;PST;NOM-1;NOM-SG	Abu Dabiliymişim
yetmezlik	N;NOM(SG;PSS-2;PSS-PL	yetmezliğiniz
yufka	N;DAT(PL;PSS-3;PSS-SG	yufkalarına
kutu	N;GEN-SG	kutunun
supap	N;DAT(SG;PSS-2;PSS-SG	supabına
şal	N;ABL(SG;PSS-3;PSS-SG	şalından
ayna	N;ABL(PL;PSS-1;PSS-PL	aynalarımızdan
güzellik	N;ACC-SG	güzelliği
eskimek	V;INFR;PRS;PROG;POS;DECL;NOM-3;NOM-PL	eskiyorlarmış
âmâ	N;SG;INFR;PST;NOM-3;NOM-PL	âmâymışlar
öğrenci	N;LOC(SG;PSS-2;PSS-SG	öğrencinde
ettirtmek	V;NEC;PRS;NEG;DECL;NOM-3;NOM-PL	ettirtmemeliler
büzük	N;LOC(PL;PSS-3;PSS-SG	büzüklerinde
âşık	N;ABL-SG	âşıktan
istiridye	N;GEN(PL;PSS-2;PSS-PL	istiridyelerinizin
açmak	V;IND;PST;INTR;POS;NOM-2;NOM-SG	açtın mı
boy ölçüşmek	V;IND;PRS;HAB;INTR;POS;NOM-1;NOM-PL	boy ölçüşür müyüz
büktürtmek	V;NEC;PRS;POS;DECL;NOM-2;NOM-SG	büktürtmelisin
alındırtmak	V;NEC;INFR;PRS;PROG;NEG;DECL;NOM-2;NOM-SG	alındırtıyor olmamalıymışsın
soğan	N;GEN(SG;PSS-3;PSS-SG	soğanının
altın	N;DAT(PL;PSS-2;PSS-SG	altınlarına
kasbilim	N;ACC-PL	kasbilimleri
imrenmek	V;IND;PST;PERF;INTR;POS;NOM-1;NOM-PL	imrendi miydik
kafes bileşik	N;ABL-SG	kafes bileşikten
cinsel yönelim	N;ACC(PL;PSS-1;PSS-PL	cinsel yönelimlerimizi
eğitmek	V;IND;PRS;HAB;NEG;DECL;NOM-2;NOM-PL	eğitmezsiniz
kürke	N;NOM(PL;PSS-2;PSS-SG	kürkelerin
kaynaştırtılmak	V;IND;FUT;PROG;NEG;INTR;NOM-3;NOM-PL	kaynaştırtılıyor olmayacaklar mı
bok	N;LOC-PL	boklarda
dış gezegen	N;NOM-SG	dış gezegen
döndürmek	V;IND;PST;PRSP;NEG;INTR;NOM-1;NOM-PL	döndürmeyecek miydik
istiridye	N;GEN-PL	istiridyelerin
yazmak	V;IND;PST;PRSP;NEG;INTR;NOM-1;NOM-PL	yazmayacak mıydık
ehemmiyetlilik	N;ACC(SG;PSS-3;PSS-SG	ehemmiyetliliğini
kanmak	V;IND;PRS;PROG;INTR;POS;NOM-1;NOM-PL	kanıyor muyuz
kerpeten	N;DAT(SG;PSS-2;PSS-SG	kerpetenine
sumak	N;LOC(PL;PSS-2;PSS-PL	sumaklarınızda
kulağını bükmek	V;INFR;PST;PRSP;POS;DECL;NOM-1;NOM-PL	kulağını bükmüş olacaktık
temsilci	N;PL;INFR;PST;NOM-2;NOM-PL	temsilcilermişsiniz
süzmek	V;IND;PST;PRSP;PROG;NEG;DECL;NOM-1;NOM-SG	süzüyor olmayacaktım
cüzzam	N;ABL(PL;PSS-3;PSS-SG	cüzzamlarından
attırmak	V;INFR;FUT;NEG;DECL;NOM-1;NOM-PL	attırmayacakmışız
kosinüs	N;LOC-PL	kosinüslerde
parçacık	N;GEN(PL;PSS-2;PSS-SG	parçacıklarının
kürke	N;ACC-SG	kürkeyi
satranç	N;ACC(PL;PSS-2;PSS-SG	satrançlarını
fortlamak	V;INFR;PST;SG;POS;DECL;NOM-3	fortlamışmış
izlemek	V;INFR;FUT;POS;DECL;NOM-2;NOM-PL	izleyecekmişsiniz
cimcime	N;SG;IND;PST;NOM-3;NOM-PL	cimcimeydiler
iskender	N;NOM-PL	iskenderler
tütüncü	N;ACC(SG;PSS-2;PSS-PL	tütüncünüzü
germek	V;NEC;INFR;PST;NEG;INTR;NOM-2;NOM-PL	germemeli miymişsiniz
şaşırttırmak	V;INFR;PST;PERF;NEG;DECL;NOM-1;NOM-PL	şaşırttırmamıştık
saydırtmak	V;INFR;PRS;PROG;INTR;POS;NOM-1;NOM-SG	saydırtıyor muymuşum
artmak	V;INFR;PST;PL;NEG;DECL;NOM-2	artmamışmışsınız
gözlemek	V;INFR;PST;NEG;DECL;NOM-2;NOM-SG	gözlememişsin
anahtar kelime	N;DAT-PL	anahtar kelimelere
plak	N;GEN(PL;PSS-2;PSS-PL	plaklarınızın
diremek	V;INFR;FUT;PRSP;POS;DECL;NOM-1;NOM-PL	direecek olacakmışız
ağda yapmak	V;NEC;PRS;NEG;INTR;NOM-3;NOM-PL	ağda yapmameliler mi
döndürmek	V;INFR;PST;PL;NEG;INTR;NOM-3	döndürmemişler miymiş
silkmek	V;NEC;PST;PROG;INTR;POS;NOM-3;NOM-PL	silkiyor olmalılar mıydı
tutuşturmak	V;IND;FUT;PROG;NEG;DECL;NOM-2;NOM-SG	tutuşturuyor olmayacaksın
satılmak	V;INFR;PST;NEG;DECL;NOM-2;NOM-SG	satılmamışsın
yıkamak	V;INFR;FUT;PRSP;NEG;INTR;NOM-1;NOM-PL	yıkaacak olmayacak mıymışız
gizlemek	V;INFR;PST;PL;NEG;INTR;NOM-1	gizlememiş miymişiz
verilmek	V;IND;PST;HAB;PROG;INTR;POS;NOM-3;NOM-PL	veriliyor olurlar mıydı
soymak	V;IND;PST;INTR;POS;NOM-2;NOM-PL	soydunuz mu
göbek dansı	N;GEN-PL	göbek danslarının
yaratmak	V;INFR;PST;PRSP;NEG;DECL;NOM-1;NOM-PL	yaratmış olmayacaktık
ayrılmak	V;IND;PRS;HAB;NEG;DECL;NOM-1;NOM-SG	ayrılmam
pişirmek	V;IND;PST;HAB;NEG;DECL;NOM-2;NOM-SG	pişirmezdin
ölümsüzleştirmek	V;INFR;FUT;PERF;NEG;DECL;NOM-1;NOM-SG	ölümsüzleştirmiş olmayacağım
kulağını bükmek	V;IND;PST;POS;DECL;NOM-2;NOM-PL	kulağını büktünüz
satılmak	V;INFR;FUT;PRSP;INTR;POS;NOM-3;NOM-SG	satılacak olacak mıymış
bilim teorisi	N;ABL-SG	bilim teorisinden
kirletmek	V;NEC;PST;NEG;INTR;NOM-3;NOM-SG	kirletmemeli miydi
dedikodu yapmak	V;NEC;PRS;INTR;POS;NOM-3;NOM-PL	dedikodu yapmeliler mi
geçinmek	V;INFR;PST;PRSP;NEG;INTR;NOM-2;NOM-SG	geçinmiş olmayacak mıydın
bandaj	N;GEN(SG;PSS-1;PSS-PL	bandajımızın
konferans	N;LOC(SG;PSS-2;PSS-SG	konferansında
boy ölçüşmek	V;IND;PRS;PROG;NEG;INTR;NOM-3;NOM-SG	boy ölçüşmüyor mu
brokoli	N;LOC(SG;PSS-2;PSS-SG	brokolinde
korkutmak	V;IND;PST;PERF;NEG;DECL;NOM-2;NOM-PL	korkutmadıydınız
kirletmek	V;INFR;PRS;HAB;NEG;INTR;NOM-1;NOM-SG	kirletmez miymişim
durmak	V;IND;PST;PRSP;POS;DECL;NOM-2;NOM-PL	duracaktınız
çevirmek	V;NEC;PST;PROG;INTR;POS;NOM-3;NOM-PL	çeviriyor olmalılar mıydı
irdelemek	V;NEC;PST;PROG;INTR;POS;NOM-1;NOM-PL	irdeliyor olmalı mıydık
demek	V;INFR;PST;PERF;NEG;DECL;NOM-3;NOM-SG	dememişti
ahududu	N;ACC-SG	ahududunu
çatmak	V;NEC;PRS;NEG;DECL;NOM-3;NOM-SG	çatmameli
aşiret	N;DAT(PL;PSS-2;PSS-PL	aşiretlerinize
üstesinden gelmek	V;NEC;PRS;POS;DECL;NOM-3;NOM-PL	üstesinden gelmeliler
girmek	V;NEC;PRS;POS;DECL;NOM-3;NOM-PL	girmeliler
öldürtmek	V;IND;FUT;PROG;NEG;DECL;NOM-3;NOM-SG	öldürtüyor olmayacak
sözlük	N;ACC(SG;PSS-1;PSS-PL	sözlüğümüzü
elma	N;DAT(SG;PSS-2;PSS-PL	elmanıza
tükenmek	V;INFR;FUT;PROG;INTR;POS;NOM-2;NOM-SG	tükeniyor olacak mıymışsın
aşiret	N;ABL(SG;PSS-2;PSS-PL	aşiretinizden
otogar	N;NOM(PL;PSS-3;PSS-SG	otogarları
gelmek	V;NEC;INFR;PRS;PROG;INTR;POS;NOM-3;NOM-SG	geliyor olmalı mıymış
kırılmak	V;IND;PST;HAB;NEG;DECL;NOM-2;NOM-PL	kırılmazdınız
canlandırmak	V;IND;PRS;HAB;INTR;POS;NOM-1;NOM-SG	canlandırır mıyım
gereksinim	N;NOM(PL;PSS-2;PSS-SG	gereksinimlerin
ölçülmek	V;IND;FUT;POS;DECL;NOM-2;NOM-PL	ölçüleceksiniz
saç fırçası	N;GEN-PL	saç fırçalarının
üzmek	V;IND;PST;PRSP;PROG;POS;DECL;NOM-1;NOM-PL	üzüyor olacaktık
gefirofobi	N;NOM-PL	gefirofobiler
taç yaprak	N;ABL-SG	taç yapraktan
cenaze	N;DAT(PL;PSS-2;PSS-PL	cenazelerinize
pay	N;ABL(PL;PSS-3;PSS-SG	paylarından
keş	N;DAT(PL;PSS-3;PSS-SG	keşlerine
topoloji	N;LOC(SG;PSS-1;PSS-PL	topolojimizde
tepmek	V;INFR;PRS;PROG;NEG;DECL;NOM-2;NOM-SG	tepmiyormuşsun
anahtar kelime	N;ABL(PL;PSS-2;PSS-PL	anahtar kelimelerinizden
kullanılmak	V;NEC;PRS;POS;DECL;NOM-3;NOM-SG	kullanılmeli
ritim	N;ABL(PL;PSS-3;PSS-SG	ritimlerinden
kasbilim	N;DAT-PL	kasbilimlere
anahtar kelime	N;GEN(PL;PSS-3;PSS-SG	anahtar kelimelerinin
dolmak	V;INFR;PRS;HAB;NEG;DECL;NOM-2;NOM-PL	dolmazmışsınız
gelmek	V;NEC;PST;INTR;POS;NOM-2;NOM-PL	gelmeli miydiniz
kurumak	V;IND;PST;PRSP;NEG;DECL;NOM-1;NOM-PL	kurumayacaktık
çevirmek	V;IND;FUT;PRSP;NEG;DECL;NOM-1;NOM-PL	çevirecek olmayacağız
derviş	N;GEN(SG;PSS-2;PSS-PL	dervişinizin
körfez	N;GEN(SG;PSS-3;PSS-SG	körfezinin
saydırmak	V;IND;FUT;PRSP;POS;DECL;NOM-2;NOM-SG	saydıracak olacaksın
geçmek	V;IND;PST;INTR;POS;NOM-2;NOM-PL	geçtiniz mi
işletim	N;SG;IND;PST;NOM-3;NOM-PL	işletimdiler
